Age,Gender,Income,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
56,male,71477,9,skiing,2477,urban,175,267,summer,0,1,1
69,male,88740,1,swimming,4777,suburban,228,190,fall,0,1,0
46,female,46562,0,skiing,1469,urban,71,280,winter,0,0,1
32,non-binary,99044,6,hiking,1482,rural,31,255,summer,1,0,1
60,female,106583,5,sunbathing,516,suburban,23,151,winter,1,1,0
25,male,110588,3,sunbathing,2895,urban,6,47,fall,0,1,0
38,male,22245,1,swimming,4994,rural,157,225,fall,0,1,0
56,non-binary,109411,8,sunbathing,3656,urban,210,166,winter,1,0,0
36,male,22531,6,swimming,2408,suburban,218,263,summer,1,1,0
40,non-binary,90840,1,swimming,4044,rural,271,15,summer,1,1,0
28,female,42036,4,skiing,3495,suburban,159,51,spring,0,1,0
28,non-binary,97902,3,skiing,1747,urban,33,21,winter,1,0,0
41,female,52794,7,hiking,1591,suburban,130,254,summer,1,1,1
53,female,93042,9,sunbathing,2221,rural,211,148,fall,0,1,0
57,male,65802,3,hiking,2607,suburban,36,258,fall,0,0,1
41,female,99810,2,skiing,2830,urban,77,209,fall,1,1,1
20,male,112635,7,sunbathing,675,rural,280,211,winter,0,0,0
39,non-binary,52469,4,hiking,4979,rural,253,50,summer,0,1,0
19,non-binary,69522,5,sunbathing,4028,rural,162,293,fall,0,0,0
41,female,46992,1,hiking,803,urban,207,162,summer,0,0,0
61,non-binary,107749,5,hiking,4140,urban,296,169,fall,0,1,0
47,female,97814,7,skiing,3818,suburban,298,41,spring,1,1,0
55,non-binary,52222,1,skiing,635,suburban,263,241,fall,1,1,0
19,female,82148,1,swimming,862,rural,164,1,winter,0,1,0
38,female,112172,4,skiing,3424,urban,234,54,spring,1,0,0
50,non-binary,43152,3,skiing,3923,urban,243,161,summer,1,1,0
29,non-binary,98433,3,sunbathing,1823,rural,48,185,spring,1,0,0
39,non-binary,46417,4,skiing,2850,suburban,220,230,summer,0,1,1
